Model,Scope,Discount,Year,SCC
FUND,Global,0.05,2010,12.93901713
FUND,Global,0.025,2010,13.52969103
FUND,Global,0.03,2010,16.87951421
FUND,Global,0.05,2010,13.53224139
FUND,Global,0.025,2010,16.62143418
FUND,Global,0.03,2010,18.02760281
FUND,Global,0.05,2010,11.13388819
FUND,Global,0.025,2010,15.19710049
FUND,Global,0.03,2010,16.01140947
FUND,Global,0.05,2010,11.23280742
FUND,Global,0.025,2010,18.0106944
FUND,Global,0.03,2010,18.55804027
FUND,Global,0.05,2010,12.13965578
FUND,Global,0.025,2010,19.85475477
FUND,Global,0.03,2010,17.46181705
FUND,Global,0.05,2010,12.0901418
FUND,Global,0.025,2010,14.11150601
FUND,Global,0.03,2010,21.18006884
FUND,Global,0.05,2010,11.04109254
FUND,Global,0.025,2010,17.57112707
FUND,Global,0.03,2010,15.73137909
FUND,Global,0.05,2010,14.72256007
FUND,Global,0.025,2010,15.60854825
FUND,Global,0.03,2010,13.25528105
FUND,Global,0.05,2010,12.85784901
FUND,Global,0.025,2010,17.85227189
FUND,Global,0.03,2010,13.81083971
FUND,Global,0.05,2010,14.5210014
FUND,Global,0.025,2010,12.67670062
FUND,Global,0.03,2010,18.0412661
FUND,Global,0.05,2010,14.83457747
FUND,Global,0.025,2010,17.50368458
FUND,Global,0.03,2010,16.55845093
FUND,Global,0.05,2010,13.85726263
FUND,Global,0.025,2010,15.8828162
FUND,Global,0.03,2010,14.76845425
FUND,Global,0.05,2010,12.38370761
FUND,Global,0.025,2010,18.23223396
FUND,Global,0.03,2010,14.85989543
FUND,Global,0.05,2010,13.36777051
FUND,Global,0.025,2010,17.56288603
FUND,Global,0.03,2010,14.98943643
FUND,Global,0.05,2010,14.58836704
FUND,Global,0.025,2010,16.82446553
FUND,Global,0.03,2010,15.05475534
FUND,Global,0.05,2010,12.31954348
FUND,Global,0.025,2010,16.6706231
FUND,Global,0.03,2010,14.75099339
FUND,Global,0.05,2010,11.06284242
FUND,Global,0.025,2010,16.15805833
FUND,Global,0.03,2010,14.78508643
FUND,Global,0.05,2010,11.22071375
FUND,Global,0.025,2010,16.34786076
FUND,Global,0.03,2010,13.1201246
FUND,Global,0.05,2010,12.88341405
FUND,Global,0.025,2010,17.7709895
FUND,Global,0.03,2010,15.68709431
FUND,Global,0.05,2010,13.33715229
FUND,Global,0.025,2010,16.48473581
FUND,Global,0.03,2010,13.25546109
FUND,Global,0.05,2010,13.13630842
FUND,Global,0.025,2010,16.30228946
FUND,Global,0.03,2010,16.26759699
FUND,Global,0.05,2010,14.103819
FUND,Global,0.025,2010,14.98185723
FUND,Global,0.03,2010,16.00061111
FUND,Global,0.05,2010,10.05363991
FUND,Global,0.025,2010,14.50179612
FUND,Global,0.03,2010,12.33548387
FUND,Global,0.05,2010,12.15322204
FUND,Global,0.025,2010,14.67504367
FUND,Global,0.03,2010,15.72457153
FUND,Global,0.05,2010,10.68521956
FUND,Global,0.025,2010,17.45736072
FUND,Global,0.03,2010,18.55225316
FUND,Global,0.05,2010,14.58067437
FUND,Global,0.025,2010,16.62463954
FUND,Global,0.03,2010,15.7900845
FUND,Global,0.05,2010,12.96137905
FUND,Global,0.025,2010,16.13679926
FUND,Global,0.03,2010,17.6924669
FUND,Global,0.05,2010,12.43112198
FUND,Global,0.025,2010,14.26987783
FUND,Global,0.03,2010,15.75641131
FUND,Global,0.05,2010,10.08409225
FUND,Global,0.025,2010,19.07938062
FUND,Global,0.03,2010,17.81990752
FUND,Global,0.05,2010,14.37796001
FUND,Global,0.025,2010,14.79373246
FUND,Global,0.03,2010,17.20603942
FUND,Global,0.05,2010,16.98782819
FUND,Global,0.025,2010,21.22286095
FUND,Global,0.03,2010,17.26699157
FUND,Global,0.05,2010,11.73911098
FUND,Global,0.025,2010,15.11040189
FUND,Global,0.03,2010,14.63087725
FUND,Global,0.05,2010,14.07822383
FUND,Global,0.025,2010,19.02574241
FUND,Global,0.03,2010,14.20511564
FUND,Global,0.05,2010,10.28494649
FUND,Global,0.025,2010,15.98576891
FUND,Global,0.03,2010,14.79752996
FUND,Global,0.05,2010,11.86368717
FUND,Global,0.025,2010,17.10816969
FUND,Global,0.03,2010,14.73224855
FUND,Global,0.05,2010,14.09830004
FUND,Global,0.025,2010,15.67568264
FUND,Global,0.03,2010,18.25799676
FUND,Global,0.05,2010,10.82334273
FUND,Global,0.025,2010,13.24000921
FUND,Global,0.03,2010,12.61967632
FUND,Global,0.05,2010,12.48852193
FUND,Global,0.025,2010,18.15823255
FUND,Global,0.03,2010,16.31415105
FUND,Global,0.05,2010,11.43266015
FUND,Global,0.025,2010,18.95358508
FUND,Global,0.03,2010,15.32525186
FUND,Global,0.05,2010,12.41564964
FUND,Global,0.025,2010,16.16337689
FUND,Global,0.03,2010,18.14193658
FUND,Global,0.05,2010,12.23398391
FUND,Global,0.025,2010,15.90879472
FUND,Global,0.03,2010,15.01923182
FUND,Global,0.05,2010,14.49533697
FUND,Global,0.025,2010,15.21964978
FUND,Global,0.03,2010,12.82987594
FUND,Global,0.05,2010,12.27249244
FUND,Global,0.025,2010,16.7825334
FUND,Global,0.03,2010,14.73541973
FUND,Global,0.05,2010,12.9109127
FUND,Global,0.025,2010,15.13733372
FUND,Global,0.03,2010,18.51268327
FUND,Global,0.05,2010,11.38057665
FUND,Global,0.025,2010,13.42163749
FUND,Global,0.03,2010,14.45556444
FUND,Global,0.05,2010,12.49928702
FUND,Global,0.025,2010,15.06787172
FUND,Global,0.03,2010,18.76478714
FUND,Global,0.05,2010,10.53387792
FUND,Global,0.025,2010,16.02391572
FUND,Global,0.03,2010,17.57009617
FUND,Global,0.05,2010,14.20684411
FUND,Global,0.025,2010,17.18477703
FUND,Global,0.03,2010,16.81443769
FUND,Global,0.05,2010,10.30542174
FUND,Global,0.025,2010,12.1440296
FUND,Global,0.03,2010,16.29330852
FUND,Global,0.05,2010,13.09566679
FUND,Global,0.025,2010,17.32519101
FUND,Global,0.03,2010,19.90641686
FUND,Global,0.05,2010,9.294886982
FUND,Global,0.025,2010,12.5704062
FUND,Global,0.03,2010,17.59439769
FUND,Global,0.05,2010,14.02267885
FUND,Global,0.025,2010,15.5616159
FUND,Global,0.03,2010,17.7345721
FUND,Global,0.05,2010,14.67582382
FUND,Global,0.025,2010,20.72490656
FUND,Global,0.03,2010,18.52714425
FUND,Global,0.05,2010,11.21344641
FUND,Global,0.025,2010,15.879978
FUND,Global,0.03,2010,15.58164261
FUND,Global,0.05,2010,14.86095624
FUND,Global,0.025,2010,18.56295077
FUND,Global,0.03,2010,13.63507964
FUND,Global,0.05,2010,13.54074166
FUND,Global,0.025,2010,14.80913103
FUND,Global,0.03,2010,14.07754717
FUND,Global,0.05,2010,13.99360395
FUND,Global,0.025,2010,14.61191245
FUND,Global,0.03,2010,15.84030236
FUND,Global,0.05,2010,13.37248641
FUND,Global,0.025,2010,17.14348456
FUND,Global,0.03,2010,16.14427373
FUND,Global,0.05,2010,11.6285567
FUND,Global,0.025,2010,22.58266296
FUND,Global,0.03,2010,18.00095941
FUND,Global,0.05,2010,13.80923943
FUND,Global,0.025,2010,15.89931519
FUND,Global,0.03,2010,16.11505526
FUND,Global,0.05,2010,13.10769415
FUND,Global,0.025,2010,17.38541983
FUND,Global,0.03,2010,14.20005068
FUND,Global,0.05,2010,13.42306993
FUND,Global,0.025,2010,18.63759166
FUND,Global,0.03,2010,17.09879651
FUND,Global,0.05,2010,13.91305588
FUND,Global,0.025,2010,13.09300317
FUND,Global,0.03,2010,14.39762924
FUND,Global,0.05,2010,13.43425201
FUND,Global,0.025,2010,15.87253974
FUND,Global,0.03,2010,15.84960669
FUND,Global,0.05,2010,10.57426263
FUND,Global,0.025,2010,17.24898533
FUND,Global,0.03,2010,15.07550887
FUND,Global,0.05,2010,11.83129926
FUND,Global,0.025,2010,15.33936503
FUND,Global,0.03,2010,19.1562786
FUND,Global,0.05,2010,10.51127353
FUND,Global,0.025,2010,17.0478204
FUND,Global,0.03,2010,14.51573456
FUND,Global,0.05,2010,12.53369278
FUND,Global,0.025,2010,18.50867236
FUND,Global,0.03,2010,19.02866268
FUND,Global,0.05,2010,14.08511867
FUND,Global,0.025,2010,16.63590595
FUND,Global,0.03,2010,17.17605325
FUND,Global,0.05,2010,11.30157869
FUND,Global,0.025,2010,16.89252915
FUND,Global,0.03,2010,16.61184353
FUND,Global,0.05,2010,13.1481916
FUND,Global,0.025,2010,14.64882126
FUND,Global,0.03,2010,18.20267072
FUND,Global,0.05,2010,12.644469
FUND,Global,0.025,2010,15.58233596
FUND,Global,0.03,2010,16.64618915
FUND,Global,0.05,2010,14.24856899
FUND,Global,0.025,2010,15.74943944
FUND,Global,0.03,2010,16.3958382
FUND,Global,0.05,2010,13.73907694
FUND,Global,0.025,2010,16.1031667
FUND,Global,0.03,2010,19.4058196
FUND,Global,0.05,2010,10.72768117
FUND,Global,0.025,2010,16.72606468
FUND,Global,0.03,2010,19.60505853
FUND,Global,0.05,2010,11.22840409
FUND,Global,0.025,2011,17.79715539
FUND,Global,0.03,2011,15.41020909
FUND,Global,0.05,2011,13.66509242
FUND,Global,0.025,2011,16.28382278
FUND,Global,0.03,2011,16.7388179
FUND,Global,0.05,2011,12.97892128
FUND,Global,0.025,2011,17.03783432
FUND,Global,0.03,2011,16.95427902
FUND,Global,0.05,2011,13.0931404
FUND,Global,0.025,2011,13.95383625
FUND,Global,0.03,2011,14.35702293
FUND,Global,0.05,2011,11.19482003
FUND,Global,0.025,2011,15.41023791
FUND,Global,0.03,2011,19.33923358
FUND,Global,0.05,2011,12.02722864
FUND,Global,0.025,2011,17.76667814
FUND,Global,0.03,2011,16.34505099
FUND,Global,0.05,2011,15.9398597
FUND,Global,0.025,2011,19.6403637
FUND,Global,0.03,2011,16.82569761
FUND,Global,0.05,2011,13.17276112
FUND,Global,0.025,2011,18.19999553
FUND,Global,0.03,2011,14.32032748
FUND,Global,0.05,2011,14.74378321
FUND,Global,0.025,2011,18.26760351
FUND,Global,0.03,2011,17.46698498
FUND,Global,0.05,2011,13.65780029
FUND,Global,0.025,2011,19.61956106
FUND,Global,0.03,2011,18.03906252
FUND,Global,0.05,2011,14.02606518
FUND,Global,0.025,2011,17.91555314
FUND,Global,0.03,2011,17.08375682
FUND,Global,0.05,2011,14.96754838
FUND,Global,0.025,2011,16.22413552
FUND,Global,0.03,2011,17.25869688
FUND,Global,0.05,2011,10.92069249
FUND,Global,0.025,2011,17.62928407
FUND,Global,0.03,2011,17.67973554
FUND,Global,0.05,2011,17.043298
FUND,Global,0.025,2011,15.61963769
FUND,Global,0.03,2011,16.59163155
FUND,Global,0.05,2011,15.57662359
FUND,Global,0.025,2011,14.46852842
FUND,Global,0.03,2011,16.4962578
FUND,Global,0.05,2011,14.1567434
FUND,Global,0.025,2011,18.04319273
FUND,Global,0.03,2011,17.57725767
FUND,Global,0.05,2011,13.12387286
FUND,Global,0.025,2011,16.0480191
FUND,Global,0.03,2011,17.39903333
FUND,Global,0.05,2011,14.1936055
FUND,Global,0.025,2011,16.49419478
FUND,Global,0.03,2011,17.47346651
FUND,Global,0.05,2011,13.68854426
FUND,Global,0.025,2011,16.16256446
FUND,Global,0.03,2011,16.90962789
FUND,Global,0.05,2011,13.01355054
FUND,Global,0.025,2011,14.59565618
FUND,Global,0.03,2011,17.48594552
FUND,Global,0.05,2011,16.99538597
FUND,Global,0.025,2011,13.95769569
FUND,Global,0.03,2011,14.26556815
FUND,Global,0.05,2011,14.38552268
FUND,Global,0.025,2011,20.77307591
FUND,Global,0.03,2011,17.38220425
FUND,Global,0.05,2011,15.87923099
FUND,Global,0.025,2011,16.53880878
FUND,Global,0.03,2011,18.621553
FUND,Global,0.05,2011,13.01247233
FUND,Global,0.025,2011,16.57471717
FUND,Global,0.03,2011,16.50579053
FUND,Global,0.05,2011,13.81413654
FUND,Global,0.025,2011,16.45872186
FUND,Global,0.03,2011,17.19682601
FUND,Global,0.05,2011,15.23460026
FUND,Global,0.025,2011,16.23041812
FUND,Global,0.03,2011,19.01788666
FUND,Global,0.05,2011,15.07307626
FUND,Global,0.025,2011,20.64227648
FUND,Global,0.03,2011,17.59120332
FUND,Global,0.05,2011,16.68740538
FUND,Global,0.025,2011,16.85172593
FUND,Global,0.03,2011,14.80261496
FUND,Global,0.05,2011,15.17910728
FUND,Global,0.025,2011,20.82786696
FUND,Global,0.03,2011,14.9420262
FUND,Global,0.05,2011,13.84737291
FUND,Global,0.025,2011,16.42520313
FUND,Global,0.03,2011,13.85778592
FUND,Global,0.05,2011,14.29716012
FUND,Global,0.025,2011,15.02942609
FUND,Global,0.03,2011,14.94466618
FUND,Global,0.05,2011,12.02840925
FUND,Global,0.025,2011,17.11432162
FUND,Global,0.03,2011,13.37705738
FUND,Global,0.05,2011,14.12010619
FUND,Global,0.025,2011,17.76387313
FUND,Global,0.03,2011,14.69182411
FUND,Global,0.05,2011,13.87575418
FUND,Global,0.025,2011,17.97698962
FUND,Global,0.03,2011,19.38493761
FUND,Global,0.05,2011,13.41199327
FUND,Global,0.025,2011,18.72479911
FUND,Global,0.03,2011,14.79792951
FUND,Global,0.05,2011,13.01185817
FUND,Global,0.025,2011,16.84954802
FUND,Global,0.03,2011,14.92608741
FUND,Global,0.05,2011,16.00408319
FUND,Global,0.025,2011,16.04142668
FUND,Global,0.03,2011,17.56486947
FUND,Global,0.05,2011,9.575371686
FUND,Global,0.025,2011,18.22435362
FUND,Global,0.03,2011,16.99478146
FUND,Global,0.05,2011,17.09297331
FUND,Global,0.025,2011,15.81380556
FUND,Global,0.03,2011,16.00644033
FUND,Global,0.05,2011,13.69385553
FUND,Global,0.025,2011,17.84429725
FUND,Global,0.03,2011,20.36584901
FUND,Global,0.05,2011,13.41323298
FUND,Global,0.025,2011,13.84553842
FUND,Global,0.03,2011,17.28479137
FUND,Global,0.05,2011,14.37560034
FUND,Global,0.025,2011,19.60299092
FUND,Global,0.03,2011,16.85639057
FUND,Global,0.05,2011,13.61877898
FUND,Global,0.025,2011,16.0292371
FUND,Global,0.03,2011,15.22648009
FUND,Global,0.05,2011,11.78222653
FUND,Global,0.025,2011,18.16145142
FUND,Global,0.03,2011,16.20365486
FUND,Global,0.05,2011,15.33534094
FUND,Global,0.025,2011,15.64064516
FUND,Global,0.03,2011,16.70269941
FUND,Global,0.05,2011,12.12120762
FUND,Global,0.025,2011,19.39005016
FUND,Global,0.03,2011,16.00924945
FUND,Global,0.05,2011,12.97070244
FUND,Global,0.025,2011,11.67127387
FUND,Global,0.03,2011,16.56456401
FUND,Global,0.05,2011,11.63580464
FUND,Global,0.025,2011,16.44909312
FUND,Global,0.03,2011,17.31920266
FUND,Global,0.05,2011,12.22764531
FUND,Global,0.025,2011,14.79447797
FUND,Global,0.03,2011,18.55779868
FUND,Global,0.05,2011,15.08990836
FUND,Global,0.025,2011,17.34185927
FUND,Global,0.03,2011,15.90300781
FUND,Global,0.05,2011,16.26688028
FUND,Global,0.025,2011,19.20482494
FUND,Global,0.03,2011,18.36105639
FUND,Global,0.05,2011,13.6459948
FUND,Global,0.025,2011,18.11601318
FUND,Global,0.03,2011,16.36289869
FUND,Global,0.05,2011,13.35871873
FUND,Global,0.025,2011,16.78305213
FUND,Global,0.03,2011,15.3517888
FUND,Global,0.05,2011,15.74598481
FUND,Global,0.025,2011,17.22486395
FUND,Global,0.03,2011,18.09914154
FUND,Global,0.05,2011,14.16470195
FUND,Global,0.025,2011,14.78366632
FUND,Global,0.03,2011,16.77221
FUND,Global,0.05,2011,15.22854426
FUND,Global,0.025,2011,18.76927798
FUND,Global,0.03,2011,14.47392667
FUND,Global,0.05,2011,14.09217101
FUND,Global,0.025,2011,17.33486823
FUND,Global,0.03,2011,15.97392821
FUND,Global,0.05,2011,12.56291739
FUND,Global,0.025,2011,19.33446829
FUND,Global,0.03,2011,17.45999692
FUND,Global,0.05,2011,14.88069602
FUND,Global,0.025,2011,18.7201851
FUND,Global,0.03,2011,13.91372227
FUND,Global,0.05,2011,13.07202219
FUND,Global,0.025,2011,16.03255157
FUND,Global,0.03,2011,16.34654141
FUND,Global,0.05,2011,11.36514625
FUND,Global,0.025,2011,17.07547041
FUND,Global,0.03,2011,16.18673038
FUND,Global,0.05,2011,12.58046498
FUND,Global,0.025,2011,16.7821361
FUND,Global,0.03,2011,19.28624913
FUND,Global,0.05,2011,15.62787748
FUND,Global,0.025,2011,17.79763879
FUND,Global,0.03,2011,19.77745581
FUND,Global,0.05,2011,13.48142764
FUND,Global,0.025,2011,19.43397685
FUND,Global,0.03,2011,16.94099057
FUND,Global,0.05,2011,15.49354768
FUND,Global,0.025,2011,16.47388145
FUND,Global,0.03,2011,20.24531253
FUND,Global,0.05,2011,14.79918545
FUND,Global,0.025,2011,19.16166283
FUND,Global,0.03,2011,17.3847743
FUND,Global,0.05,2011,15.27525964
FUND,Global,0.025,2011,15.65895488
FUND,Global,0.03,2011,17.88438959
FUND,Global,0.05,2011,12.36915267
FUND,Global,0.025,2011,18.55094107
FUND,Global,0.03,2011,17.2185232
FUND,Global,0.05,2011,16.37782821
FUND,Global,0.025,2011,20.85362921
FUND,Global,0.03,2011,14.32087918
FUND,Global,0.05,2011,14.21400831
FUND,Global,0.025,2011,13.92397013
FUND,Global,0.03,2011,14.85852511
FUND,Global,0.05,2011,13.81943269
FUND,Global,0.025,2011,17.06230175
FUND,Global,0.03,2011,16.49774874
FUND,Global,0.05,2011,12.26218523
FUND,Global,0.025,2011,14.52494761
FUND,Global,0.03,2011,19.4201055
FUND,Global,0.05,2011,12.55155329
FUND,Global,0.025,2011,16.26057659
FUND,Global,0.03,2011,19.86367226
FUND,Global,0.05,2011,15.28233417
FUND,Global,0.025,2011,17.428893
FUND,Global,0.03,2011,15.97291523
FUND,Global,0.05,2011,13.64957468
FUND,Global,0.025,2011,16.57846814
FUND,Global,0.03,2011,15.86775959
FUND,Global,0.05,2011,10.92208734
FUND,Global,0.025,2011,13.57238242
FUND,Global,0.03,2011,20.45662457
FUND,Global,0.05,2011,13.10376799
FUND,Global,0.025,2011,17.13688655
FUND,Global,0.03,2011,16.97393529
FUND,Global,0.05,2011,11.47378131
FUND,Global,0.025,2011,15.81001649
FUND,Global,0.03,2011,16.19511532
FUND,Global,0.05,2011,12.10142099
FUND,Global,0.025,2011,14.38752324
FUND,Global,0.03,2011,21.11654947
FUND,Global,0.05,2011,14.2467881
FUND,Global,0.025,2011,18.91523532
FUND,Global,0.03,2011,16.96505755
FUND,Global,0.05,2011,13.87435327
FUND,Global,0.025,2011,17.24116837
FUND,Global,0.03,2011,18.43153281
FUND,Global,0.05,2011,14.5190578
FUND,Global,0.025,2011,18.20760612
FUND,Global,0.03,2011,17.67958889
FUND,Global,0.05,2011,14.80858205
FUND,Global,0.025,2011,18.5849216
FUND,Global,0.03,2011,15.06796106
FUND,Global,0.05,2011,12.48612478
FUND,Global,0.025,2011,16.24729791
FUND,Global,0.03,2011,17.69511118
FUND,Global,0.05,2011,13.77701027
FUND,Global,0.025,2011,19.65348171
FUND,Global,0.03,2011,18.77232307
FUND,Global,0.05,2011,12.5152588
FUND,Global,0.025,2011,16.22851115
FUND,Global,0.03,2011,17.47774328
FUND,Global,0.05,2011,13.23872744
FUND,Global,0.025,2011,18.77989563
FUND,Global,0.03,2011,15.21046464
FUND,Global,0.05,2011,15.04969192
FUND,Global,0.025,2011,20.09497618
FUND,Global,0.03,2011,17.99623342
FUND,Global,0.05,2011,13.8615871
FUND,Global,0.025,2011,17.81576253
FUND,Global,0.03,2011,16.93996931
FUND,Global,0.05,2011,15.7175388
FUND,Global,0.025,2011,16.68691582
FUND,Global,0.03,2011,17.25255073
FUND,Global,0.05,2011,14.53456497
FUND,Global,0.025,2011,19.84279133
FUND,Global,0.03,2011,18.00403619
FUND,Global,0.05,2011,15.23972518
FUND,Global,0.025,2011,19.52919217
FUND,Global,0.03,2011,19.14878455
FUND,Global,0.05,2011,13.33735675
FUND,Global,0.025,2011,16.30024581
FUND,Global,0.03,2011,15.97883575
FUND,Global,0.05,2011,12.45979355
FUND,Global,0.025,2011,17.36189623
FUND,Global,0.03,2011,15.93369811
FUND,Global,0.05,2011,10.74531447
FUND,Global,0.025,2011,17.68192993
FUND,Global,0.03,2011,17.77160757
FUND,Global,0.05,2011,15.52155119
FUND,Global,0.025,2011,20.10857488
FUND,Global,0.03,2011,18.2299072
FUND,Global,0.05,2011,14.89773259
FUND,Global,0.025,2011,14.15381658
FUND,Global,0.03,2011,15.45005738
FUND,Global,0.05,2011,13.73978211
FUND,Global,0.025,2011,15.5592094
FUND,Global,0.03,2011,14.65636958
FUND,Global,0.05,2011,14.68202577
FUND,Global,0.025,2011,18.38774389
FUND,Global,0.03,2011,19.76432558
FUND,Global,0.05,2011,10.97903479
FUND,Global,0.025,2011,15.72018969
FUND,Global,0.03,2011,16.90756176
FUND,Global,0.05,2011,16.40228608
FUND,Global,0.025,2012,15.32648782
FUND,Global,0.03,2012,16.36178086
FUND,Global,0.05,2012,12.31432814
FUND,Global,0.025,2012,18.40157249
FUND,Global,0.03,2012,17.85419449
FUND,Global,0.05,2012,14.32357181
FUND,Global,0.025,2012,21.00794795
FUND,Global,0.03,2012,18.20417123
FUND,Global,0.05,2012,13.81886639
FUND,Global,0.025,2012,17.56834809
FUND,Global,0.03,2012,18.4763372
FUND,Global,0.05,2012,13.51493859
FUND,Global,0.025,2012,22.64463935
FUND,Global,0.03,2012,16.45618222
FUND,Global,0.05,2012,15.4882614
FUND,Global,0.025,2012,20.12231105
FUND,Global,0.03,2012,17.88562586
FUND,Global,0.05,2012,14.09944037
FUND,Global,0.025,2012,17.40872863
FUND,Global,0.03,2012,19.13880409
FUND,Global,0.05,2012,11.63282038
FUND,Global,0.025,2012,16.66694697
FUND,Global,0.03,2012,15.89805675
FUND,Global,0.05,2012,17.97701521
FUND,Global,0.025,2012,16.73928583
FUND,Global,0.03,2012,18.77657019
FUND,Global,0.05,2012,13.53731283
FUND,Global,0.025,2012,15.38905161
FUND,Global,0.03,2012,18.82399872
FUND,Global,0.05,2012,13.09655035
FUND,Global,0.025,2012,15.77931257
FUND,Global,0.03,2012,17.63130888
FUND,Global,0.05,2012,15.16404776
FUND,Global,0.025,2012,15.54783223
FUND,Global,0.03,2012,20.62644487
FUND,Global,0.05,2012,13.7538084
FUND,Global,0.025,2012,17.57237738
FUND,Global,0.03,2012,17.47871583
FUND,Global,0.05,2012,14.55127194
FUND,Global,0.025,2012,17.04899899
FUND,Global,0.03,2012,17.80796753
FUND,Global,0.05,2012,14.84352709
FUND,Global,0.025,2012,16.91699465
FUND,Global,0.03,2012,19.04810797
FUND,Global,0.05,2012,14.69566802
FUND,Global,0.025,2012,16.57082812
FUND,Global,0.03,2012,21.42247787
FUND,Global,0.05,2012,15.32863259
FUND,Global,0.025,2012,17.5193315
FUND,Global,0.03,2012,16.82554996
FUND,Global,0.05,2012,12.95340074
FUND,Global,0.025,2012,19.92144433
FUND,Global,0.03,2012,17.19491744
FUND,Global,0.05,2012,15.98210308
FUND,Global,0.025,2012,20.51127669
FUND,Global,0.03,2012,19.57101324
FUND,Global,0.05,2012,14.15190898
FUND,Global,0.025,2012,19.62361059
FUND,Global,0.03,2012,16.4655692
FUND,Global,0.05,2012,13.32839217
FUND,Global,0.025,2012,17.82895518
FUND,Global,0.03,2012,16.69864629
FUND,Global,0.05,2012,13.67011901
FUND,Global,0.025,2012,20.80990244
FUND,Global,0.03,2012,21.90940824
FUND,Global,0.05,2012,15.48056605
FUND,Global,0.025,2012,18.79399402
FUND,Global,0.03,2012,17.22731508
FUND,Global,0.05,2012,17.84005698
FUND,Global,0.025,2012,17.7198298
FUND,Global,0.03,2012,16.46897882
FUND,Global,0.05,2012,13.4105267
FUND,Global,0.025,2012,17.7217565
FUND,Global,0.03,2012,20.11255528
FUND,Global,0.05,2012,12.32431548
FUND,Global,0.025,2012,15.73318714
FUND,Global,0.03,2012,18.30717314
FUND,Global,0.05,2012,13.47178766
FUND,Global,0.025,2012,17.37676233
FUND,Global,0.03,2012,17.36899103
FUND,Global,0.05,2012,14.21618032
FUND,Global,0.025,2012,19.51086608
FUND,Global,0.03,2012,19.67791602
FUND,Global,0.05,2012,15.05785778
FUND,Global,0.025,2012,21.17458844
FUND,Global,0.03,2012,15.26178068
FUND,Global,0.05,2012,14.9476498
FUND,Global,0.025,2012,14.92491383
FUND,Global,0.03,2012,20.94064944
FUND,Global,0.05,2012,14.14223971
FUND,Global,0.025,2012,17.48263417
FUND,Global,0.03,2012,18.43377823
FUND,Global,0.05,2012,15.48924537
FUND,Global,0.025,2012,21.28943394
FUND,Global,0.03,2012,20.510425
FUND,Global,0.05,2012,15.48097626
FUND,Global,0.025,2012,16.96498514
FUND,Global,0.03,2012,15.85393323
